Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,ET ,1029," 794,452.01 ",,,,,,
2017,GE ,1029," 7,001.36 ",,,,,,
2017,GH ,1029," 167,670.75 ",,,,,,
2017,GM ,1029," 109,106.32 ",,,,,,
2017,GN ,1029," 100,632.28 ",,,,,,
2017,GT ,1029," 55,430.59 ",,,,,,
2017,GW ,1029," 6,161.52 ",,,,,,
2017,HN ,1029," 64,377.94 ",,,,,,
2017,HT ,1029," 92,400.11 ",,,,,,
2017,ID ,1029," 276,393.96 ",,,,,,
2017,IN ,1029," 681,251.87 ",,,,,,
2017,JO ,1029," 11,071.07 ",,,,,,
2017,KE ,1029," 189,892.45 ",,,,,,
2017,KG ,1029," 119,885.74 ",,,,,,
2017,KH ,1029," 212,991.43 ",,,,,,
2017,KI ,1029," 13,998.75 ",,,,,,
2017,KM ,1029," 6,388.32 ",,,,,,
2017,LA ,1029," 99,427.31 ",,,,,,
2017,LB ,1029," 1,421.75 ",,,,,,
2017,LK ,1029," 475,415.10 ",,,,,,
2017,LR ,1029," 67,284.50 ",,,,,,
2017,LS ,1029," 65,625.27 ",,,,,,
2017,MD ,1029," 43,221.02 ",,,,,,
2017,MG ,1029," 229,063.43 ",,,,,,
2017,ML ,1029," 247,106.50 ",,,,,,
2017,MM ,1029," 47,078.70 ",,,,,,
2017,MN ,1029," 35,273.29 ",,,,,,
2017,MR ,1029," 88,439.61 ",,,,,,
2017,MV ,1029," 22,617.89 ",,,,,,
2017,MW ,1029," 227,632.28 ",,,,,,
2017,MX ,1029," 12,397.84 ",,,,,,
2017,MZ ,1029," 298,961.20 ",,,,,,
2017,NE ,1029," 273,206.52 ",,,,,,
2017,NG ,1029," 447,742.65 ",,,,,,
2017,NI ,1029," 98,403.68 ",,,,,,
2017,NP ,1029," 352,184.28 ",,,,,,
2017,PG ,1029," 73,473.87 ",,,,,,
2017,PH ,1029," 81,322.67 ",,,,,,
2017,PK ,1029," 370,548.73 ",,,,,,
2017,RW ,1029," 360,562.61 ",,,,,,
2017,SB ,1029," 11,394.33 ",,,,,,
2017,SD ,1029," 301,031.61 ",,,,,,
2017,SL ,1029," 224,467.78 ",,,,,,
2017,SN ,1029," 231,264.02 ",,,,,,
2017,SS ,1029," 20,447.88 ",,,,,,
2017,ST ,1029," 50,957.50 ",,,,,,
2017,SZ ,1029," 8,634.92 ",,,,,,
